"hf","hm","C","dStar","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0.8,0.48,0.02,1.1,0.0227317009807105,0.112,0.206825,0.011363,1e-06,1.5e-05,0,0,0,0,0,0,0.781794,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000003,0.0181476846057573
0.5,0.5,0.85,0.46,0.02,1.1,0.0165258038623164,0.112,0.157496,0.010695,1e-06,1.7e-05,0,0,0,0,0,0,0.831787,0,1e-06,0,0,0,0,3e-06,0,0,0.5,0.017279644895371
0.5,0.5,0.9,0.44,0.02,1.1,0.0106509235872311,0.112,0.108185,0.010216,1e-06,1.9e-05,0,0,0,0,0,0,0.881571,0,2e-06,0,0,0,0,6e-06,0,0,0.499999999999994,0.0166453265044814
0.5,0.5,0,0.8,0.02,0.9,0.112,0.112,0.999985,1.1e-05,1e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.05,0.78,0.02,0.9,0.109603942445569,0.112,0.949986,1.1e-05,1e-06,4e-06,0,0,0,0,0,0,0.049999,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0.02,0.9,0.106631461358789,0.112,0.899987,1.2e-05,1e-06,4e-06,0,0,0,0,0,0,0.099997,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.15,0.74,0.02,0.9,0.103071353093007,0.112,0.849988,1.3e-05,1e-06,4e-06,0,0,0,0,0,0,0.149995,0,0,0,0,0,0,0,0,0,0.500000000000001,0
0.5,0.5,0.2,0.72,0.02,0.9,0.0989259468626343,0.112,0.79999,1.3e-05,0,4e-06,0,0,0,0,0,0,0.199994,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.25,0.7,0.02,0.9,0.0942126514131898,0.112,0.749991,1.4e-05,0,4e-06,0,0,0,0,0,0,0.249991,0,0,0,0,0,0,0,0,0,0.500000000000001,0
0.5,0.5,0.3,0.68,0.02,0.9,0.0889647409128872,0.112,0.699993,1.5e-05,0,4e-06,0,0,0,0,0,0,0.299989,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.35,0.66,0.02,0.9,0.0832311998097573,0.112,0.649994,1.6e-05,0,5e-06,0,0,0,0,0,0,0.349986,0,0,0,0,0,0,0,0,0,0.499999999999999,0
0.5,0.5,0.4,0.64,0.02,0.9,0.0770755340233429,0.112,0.599995,1.8e-05,0,5e-06,0,0,0,0,0,0,0.399982,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.45,0.62,0.02,0.9,0.0705735706560593,0.112,0.549998,1.9e-05,0,5e-06,0,0,0,0,0,0,0.449979,0,0,0,0,0,0,0,0,0,0.500000000000002,0
0.5,0.5,0.5,0.6,0.02,0.9,0.0638103919781222,0.112,0.5,2.1e-05,0,6e-06,0,0,0,0,0,0,0.499974,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.55,0.58,0.02,0.9,0.0568766589025513,0.112,0.450001,2.3e-05,1e-06,6e-06,0,0,0,0,0,0,0.549968,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0
0.5,0.5,0.6,0.56,0.02,0.9,0.049864653084485,0.112,0.400005,2.5e-05,1e-06,7e-06,0,0,0,0,0,0,0.599961,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0
0.5,0.5,0.65,0.54,0.02,0.9,0.0428643910632119,0.112,0.350008,2.7e-05,1e-06,7e-06,0,0,0,0,0,0,0.649955,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0
0.5,0.5,0.7,0.52,0.02,0.9,0.0359601356210829,0.112,0.300014,3e-05,1e-06,8e-06,0,0,0,0,0,0,0.699946,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0
0.5,0.5,0.75,0.5,0.02,0.9,0.0292275574112735,0.112,0.250018,3.2e-05,1e-06,8e-06,0,0,0,0,0,0,0.749939,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000002,0
0.5,0.5,0.8,0.48,0.02,0.9,0.0227317009807105,0.112,0.200024,3.5e-05,1e-06,9e-06,0,0,0,0,0,0,0.799928,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000003,0
0.5,0.5,0.85,0.46,0.02,0.9,0.0165258038623164,0.112,0.150032,3.8e-05,1e-06,1e-05,0,0,0,0,0,0,0.849916,0,1e-06,0,0,0,0,3e-06,0,0,0.5,0
0.5,0.5,0.9,0.44,0.02,0.9,0.0106509235872311,0.112,0.100039,4.1e-05,1e-06,1.1e-05,0,0,0,0,0,0,0.8999,0,2e-06,0,0,0,0,7e-06,0,0,0.499999999999994,0
0.5,0.5,0,0.8,0.05,1.5,0.112,0.112,0.833334,0.166661,1e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666666666667
0.5,0.5,0.05,0.78,0.05,1.5,0.109603942445569,0.112,0.808008,0.157764,1e-06,4e-06,0,0,0,0,0,0,0.034223,0,0,0,0,0,0,0,0,0,0.5,0.162095639943741
0.5,0.5,0.1,0.76,0.05,1.5,0.106631461358789,0.112,0.780899,0.148871,1e-06,4e-06,0,0,0,0,0,0,0.070225,0,0,0,0,0,0,0,0,0,0.5,0.15727002967359
0.5,0.5,0.15,0.74,0.05,1.5,0.103071353093007,0.112,0.751979,0.140023,1e-06,5e-06,0,0,0,0,0,0,0.107992,0,0,0,0,0,0,0,0,0,0.500000000000001,0.152190923317684
0.5,0.5,0.2,0.72,0.05,1.5,0.0989259468626343,0.112,0.721239,0.131262,1e-06,5e-06,0,0,0,0,0,0,0.147493,0,0,0,0,0,0,0,0,0,0.5,0.146864686468647
0.5,0.5,0.25,0.7,0.05,1.5,0.0942126514131898,0.112,0.688679,0.122636,0,5e-06,0,0,0,0,0,0,0.18868,0,0,0,0,0,0,0,0,0,0.500000000000001,0.141304347826087
0.5,0.5,0.3,0.68,0.05,1.5,0.0889647409128872,0.112,0.654321,0.114192,0,5e-06,0,0,0,0,0,0,0.231482,0,0,0,0,0,0,0,0,0,0.5,0.135531135531135
0.5,0.5,0.35,0.66,0.05,1.5,0.0832311998097573,0.112,0.618203,0.105984,0,5e-06,0,0,0,0,0,0,0.275808,0,0,0,0,0,0,0,0,0,0.499999999999999,0.129576107899807
0.5,0.5,0.4,0.64,0.05,1.5,0.0770755340233429,0.112,0.580386,0.098065,0,5e-06,0,0,0,0,0,0,0.321544,0,0,0,0,0,0,0,0,0,0.5,0.123481781376518
0.5,0.5,0.45,0.62,0.05,1.5,0.0705735706560593,0.112,0.54095,0.090493,0,5e-06,0,0,0,0,0,0,0.368552,0,0,0,0,0,0,0,0,0,0.500000000000002,0.117303609341826
0.5,0.5,0.5,0.6,0.05,1.5,0.0638103919781222,0.112,0.5,0.083326,0,6e-06,0,0,0,0,0,0,0.416668,0,0,0,0,0,0,0,0,0,0.5,0.111111111111111
0.5,0.5,0.55,0.58,0.05,1.5,0.0568766589025513,0.112,0.457663,0.076623,0,6e-06,0,0,0,0,0,0,0.465708,0,0,0,0,0,0,0,0,0,0.499999999999999,0.104988399071926
0.5,0.5,0.6,0.56,0.05,1.5,0.049864653084485,0.112,0.414087,0.070439,1e-06,6e-06,0,0,0,0,0,0,0.515465,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0990338164251207
0.5,0.5,0.65,0.54,0.05,1.5,0.0428643910632119,0.112,0.36945,0.064831,1e-06,7e-06,0,0,0,0,0,0,0.565709,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0.093358395989975
