C,delta,k,r,sm,sf,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0,0.069386028,0.259884657,3,1,2
0.75,0.2,6.38,0,0.067003077,0.474399494,2,0,2
0.75,0.2,6.38,0,0.086312384,0.405120172,2,0,2
0.75,0.2,6.38,0,0.100591653,0.351995274,3,1,2
0.75,0.2,6.38,0,0.063766011,0.382839114,2,0,2
0.75,0.2,6.38,0,0.048263142,0.434541828,3,1,2
0.75,0.2,6.38,0,0.047594441,0.279686466,2,0,2
0.75,0.2,6.38,0,0.070165491,0.346301578,2,0,2
0.75,0.2,6.38,0,0.04897788,0.271051032,2,0,2
0.75,0.2,6.38,0,0.056929907,0.22743254,3,1,2
0.75,0.2,6.38,0,0.051168131,0.305175891,2,0,2
0.75,0.2,6.38,0,0.059999058,0.358141101,2,0,2
0.75,0.2,6.38,0,0.015976706,0.121372108,3,1,2
0.75,0.2,6.38,0,0.067137072,0.475996231,2,0,2
0.75,0.2,6.38,0,0.074110098,0.417778897,2,0,2
0.75,0.2,6.38,0,0.012469315,0.110999708,3,1,2
0.75,0.2,6.38,0,0.05173046,0.469975661,3,1,2
0.75,0.2,6.38,0,0.080430645,0.344179957,3,1,2
0.75,0.2,6.38,0,0.072334453,0.464762786,2,0,2
0.75,0.2,6.38,0,0.105553781,0.392287977,3,1,2
0.75,0.2,6.38,0,0.005932984,0.022781996,3,1,2
0.75,0.2,6.38,0,0.013410616,0.082102865,2,0,2
0.75,0.2,6.38,0,0.048926576,0.257782088,2,0,2
0.75,0.2,6.38,0,0.081456353,0.487298689,1,0,1
0.75,0.2,6.38,0,0.061780824,0.271512834,3,1,2
0.75,0.2,6.38,0,0.048556116,0.454548142,3,1,2
0.75,0.2,6.38,0,0.051742707,0.460375958,3,1,2
0.75,0.2,6.38,0,0.08527979,0.496566304,1,0,1
0.75,0.2,6.38,0,0.086536542,0.315927577,3,1,2
0.75,0.2,6.38,0,0.128573504,0.456506273,3,1,2
0.75,0.2,6.38,0,0.023248101,0.183293738,3,1,2
0.75,0.2,6.38,0,0.105360448,0.47046373,2,0,2
0.75,0.2,6.38,0,0.020919185,0.130687532,2,0,2
0.75,0.2,6.38,0,0.057649777,0.217311151,3,1,2
0.75,0.2,6.38,0,0.083413787,0.330838723,3,1,2
0.75,0.2,6.38,0,0.030336998,0.118636004,3,1,2
0.75,0.2,6.38,0,0.029036532,0.169239418,2,0,2
0.75,0.2,6.38,0,0.084730911,0.467342926,2,0,2
0.75,0.2,6.38,0,0.069787013,0.271777762,3,1,2
0.75,0.2,6.38,0,0.023461382,0.168293922,2,0,2
0.75,0.2,6.38,0,0.094734975,0.494100843,2,0,2
0.75,0.2,6.38,0,0.053010213,0.498098317,3,1,2
0.75,0.2,6.38,0,0.073334615,0.365940013,2,0,2
0.75,0.2,6.38,0,0.06032228,0.313256645,2,0,2
